county,state,population,latitude,longitude
Richmond City,VA,227171,37.5294,-77.4756
Jefferson,MO,226984,38.2610,-90.5377
Hinds,MS,226541,32.2667,-90.4429
Whatcom,WA,226523,48.8259,-121.7199
Cabarrus,NC,226396,35.3868,-80.5519
Shelby,AL,223916,33.2643,-86.6607
Jackson,OR,222604,42.4322,-122.7285
Montgomery,TN,222305,36.4969,-87.3828
Doña Ana,NM,219870,32.3526,-106.8328
Clay,FL,219650,29.9831,-81.8579
Johnston,NC,219042,35.5178,-78.3657
Yolo,CA,217141,38.6866,-121.9011
Delaware,OH,216074,40.2784,-83.0049
Lackawanna,PA,215672,41.4367,-75.6092
Mohave,AZ,214229,35.7041,-113.7579
Butte,CA,213605,39.6669,-121.6007
York,ME,212691,43.4782,-70.7144
Niagara,NY,212230,43.2001,-78.7452
Okaloosa,FL,212021,30.6913,-86.5917
Calcasieu,LA,210770,30.2293,-93.3581
Washington,PA,209631,40.1894,-80.2483
Clermont,OH,208851,39.0476,-84.1517
Harrison,MS,208748,30.5122,-89.1160
Benton,WA,207560,46.2398,-119.5112
Elkhart,IN,206841,41.5974,-85.8587
Champaign,IL,206525,40.1401,-88.1992
Richmond,GA,206153,33.3596,-82.0736
Hall,GA,204953,34.3169,-83.8197
Anderson,SC,204592,34.5193,-82.6378
Muscogee,GA,204572,32.5100,-84.8771
Yuma,AZ,204374,32.7695,-113.9056
Onslow,NC,203686,34.7322,-77.4322
Hawaii,HI,202163,19.5984,-155.5183
Trumbull,OH,201749,41.3170,-80.7613
St. Louis,MN,200122,47.6031,-92.4707
Deschutes,OR,199352,43.9151,-121.2281
Broome,NY,198365,42.1602,-75.8196
Minnehaha,SD,197742,43.6742,-96.7915
Racine,WI,197068,42.7475,-88.0613
Sumner,TN,196845,36.4690,-86.4606
Hernando,FL,196621,28.5537,-82.4240
Sangamon,IL,196122,39.7582,-89.6589
Ellis,TX,195509,32.3484,-96.7947
Butler,PA,194562,40.9120,-79.9133
Livingston,MI,194302,42.6029,-83.9115
El Dorado,CA,191713,38.7787,-120.5247
Sarpy,NE,191272,41.1129,-96.1120
Outagamie,WI,190611,44.4161,-88.4649
Charlotte,FL,189900,26.9058,-81.9114
