true,prot,deut,trit
6B47DE,0061CA,0067AF,416B74
A9D5A0,D6C899,E9C0A5,B3CCDC
E5F056,FFE672,FFE2BF,F6E0F1
F9899D,ABA8AC,C2A395,F88993
C99D2C,B6A231,CD9931,D0919C
779026,968628,A87F31,83858F
BCE5E2,E0DBDC,EDD5E6,BFE1F3
4CBB43,B7A33F,CB9B50,6CADBB
DD34F9,3B83FF,4388E2,C86C74
AEE95B,F0D657,FFCE8C,C2D9EA
F8370F,938226,A67B00,F83737
AE1C96,185EC1,556087,A44145
BFCD62,D9C460,F2BA68,CCC0CE
71CE29,CEB728,E6AD3D,8DBECD
D221BE,0072EF,6176AB,C65156
9FF6E0,ECE4D6,FADDE7,B2EFFF
C36E13,93831F,A67B10,C6666D
4911AB,003E80,00426D,1B464B
FCF1E9,F9F1E9,FFEFEF,FFEDFF
CA7BAC,8991B9,998FA4,C5818A
4F5A05,61550C,6C5114,58545A
CD7071,90897C,A2846B,CC6F76
7DF8E2,EAE1D6,F5DCEB,A0EFFF
A7937C,9D947C,AD8F7C,AA8D98
0D3AF6,0056B1,005B97,006267
B86D8B,7F8296,8F7F85,B47078
1360D9,0063CF,0069B2,007278
4DD377,CCB96E,DFB181,6FC6D6
57B04A,AD9B46,C09455,6FA4B1
B5801C,9A8924,AE8220,BA767F
91B7D7,AAAFD2,AEADD9,8CB8C7
94E800,ECD100,FFC869,AFD6E7
179FAE,8B8EA3,8A8CB3,1A9EAB
7AE87D,E5CF74,FBC687,95DAEC
627463,746E61,7E6B66,667079
737DB2,6E7DB1,6E7DB0,69838D
B19D00,B09B00,C69314,BA909B
0CF979,EFD86E,FFD09A,69EAFD
A8ACCA,A6ABC9,AFA8CA,A4ADBB
DDD30B,E9CE11,FFC456,EBC3D2
72F73A,F6DA36,FFD395,99E5F8
A2D75E,DCC65A,F5BC67,B4C9D8
80B8F6,9FB0F1,99B0F8,70BECD
0207CC,003D7D,00416A,004548
B66D9F,7882AB,878098,B0737C
3357F0,0064D0,006BB3,00737A
23243D,222A40,222A3F,232C30
A3FD5C,FFE567,FFE0BC,BEECFF
1E3988,003F83,004372,00484D
352AFC,0055AE,005A94,006165
47115B,002E60,0C3054,40292D
474ADF,005DC0,0062A5,006A71
6812BC,004A98,004E83,494C52
72BB12,BDA713,D39E2C,89ACBA
CB7317,998822,AD8114,CE6B72
E65D2B,978839,AC8023,E7585D
93DD29,E1C828,FCBD3E,ABCCDD
3CE23D,DCC438,F5BA50,73D2E2
505FC9,2065CE,006BB9,24737C
DF983D,B9A543,D09D3D,E58D98
3B2E2A,36342F,3C322E,3E3134
9C902D,9F8D30,B28634,A4858F
